city,state,country,shape,comments,latitude,longitude,date,time,datetime
lancaster (uk/england),,United Kingdom,sphere,Bright metallic Spherical object chased by military aircraft.,54.066667,-2.833333,2003-10-24,22:16,2003-10-24 22:16
wald (switzerland),,Switzerland,other,The large&#44 longitudinal object with upward tilted wings moved  at an upward tilted angle,47.379988,10.218726,2004-10-24,18:25,2004-10-24 18:25
manchester (uk/england),,United Kingdom,formation,triangle shap pattern over my town of swinton manchester england.,53.5,-2.216667,2005-10-24,22:00,2005-10-24 22:00
rugby warks (uk/england),,Uk/england,light,Two bright lights approx size of footballs flying parallel to each other&#44 one slightly higher than the other both lights flickering lik,52.370878,-1.265032,2006-10-24,17:34,2006-10-24 17:34
hull (uk/england),,United Kingdom,triangle,3 red lights flying fast in loose triangular formation&#44 Hull&#44 East Yorkshire&#44 UK.,53.716667,-0.333333,2006-10-24,21:55,2006-10-24 21:55
stevenage (uk/england),,United Kingdom,disk,Yellow disk over Stevenage.  ((NUFORC Note:  Student report.  PD)),51.916667,-0.216667,2007-10-24,17:40,2007-10-24 17:40
aldershot (uk/england),,United Kingdom,fireball,pink/reddish Fireball or light floating motionless over nearby fields,51.25,-0.766667,2007-10-24,18:03,2007-10-24 18:03
salford (manchester) (uk/england),,United Kingdom,circle,Something weird in the sky.  ((NUFORC Note:  Water droplet on lens of camera.  PD)),52.033333,-0.633333,2008-10-24,24:00,2008-10-24 24:00
morden&#44 surrey (uk/england),,Uk/england,disk,Discs over Morden&#44 Surrey UK,51.394943,-0.19446,2009-10-24,16:00,2009-10-24 16:00
hayward&#39s heath (uk/england),,Uk/england,unknown,Throbbing sound in the sky,50.999041,-0.106333,2012-10-24,00:02,2012-10-24 00:02
