city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
carthage,tn,United States,other,60.0,less than 1 min,3/21/2003,36.2522222,-85.9516667,10/10/1993,23:00
mercedies,tx,United States,cigar,3600.0,1 hour,12/12/2011,26.149798,-97.913611,10/10/1994,15:00
burnt hills,ny,United States,rectangle,120.0,2 minutes,10/23/2013,42.9097222,-73.8955556,10/10/1994,18:30
pinebergen,ar,United States,light,5.0,5 seconds,2/18/2001,34.1027778,-91.9922222,10/10/1994,22:00
toronto (greater toronto area) (canada),on,Canada,sphere,3600.0,~1 hour,7/3/2013,43.666667,-79.416667,10/10/1994,23:00
milwaukee,wi,United States,,120.0,2 min.,11/2/1999,43.0388889,-87.9063889,10/10/1995,19:45
oakland,ca,United States,,60.0,1 minute,11/2/1999,37.8044444,-122.2697222,10/10/1995,22:40
higginsville,mo,United States,triangle,3.0,3sec,2/16/2000,39.0725,-93.7169444,10/10/1996,03:20
lake macquarie (nsw&#44 australia),,Australia,light,300.0,5 min,5/24/1999,-33.093373,151.588982,10/10/1996,20:00
charleston,sc,United States,light,300.0,5 min,11/26/2003,32.7763889,-79.9311111,10/10/1996,22:00
monroe county,oh,United States,cylinder,60.0,1 minute,7/8/2004,39.4402778,-84.3622222,10/10/1996,22:30
connersville,in,United States,delta,14400.0,4 hours,1/28/1999,39.6411111,-85.1411111,10/10/1997,16:00
mesa,az,United States,sphere,30.0,30 seconds,2/14/2008,33.4222222,-111.8219444,10/10/1997,17:00
bonaire,ga,United States,triangle,300.0,<5 minutes,2/1/2007,32.5436111,-83.5961111,10/10/1997,20:00
austin,mn,United States,other,3600.0,1-hour,1/28/1999,43.6666667,-92.9744444,10/10/1997,21:00
hollywood,ca,United States,changing,300.0,5 minutes,11/1/1998,34.0983333,-118.3258333,10/10/1998,02:30
phoenix (north part),az,United States,fireball,15.0,10 to 15 sec,2/16/1999,33.4483333,-112.0733333,10/10/1998,03:30
elgin,il,United States,cylinder,1800.0,30 +/- min,11/1/1998,42.0372222,-88.2811111,10/10/1998,13:15
las vegas,nv,United States,cigar,600.0,10 minutes,11/1/1998,36.175,-115.1363889,10/10/1998,17:30
las vegas,nv,United States,circle,2700.0,45min.,8/30/1999,36.175,-115.1363889,10/10/1998,17:30
nyc/westchester area,ny,United States,triangle,60.0,< 1 min,10/30/2006,40.935998,-73.901708,10/10/1998,20:30
spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,United States,triangle,600.0,10 minutes,8/5/2001,47.6588889,-117.425,10/10/1998,20:30
mooresville,nc,United States,light,2.0,2 seconds,11/1/1998,35.5847222,-80.8102778,10/10/1998,20:50
st. john&#39s (canada),nf,Canada,egg,7200.0,2 hours,12/2/2000,47.55,-52.666667,10/10/1998,22:30
delano,tn,United States,fireball,15.0,15 seconds,3/21/2003,35.265,-84.5533333,10/10/1998,23:50
