city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
wien (austria),,Austria,other,10800.0,3 h,12/23/2002,48.208174,16.373819,11/11/1906,00:00
dun laoghaire (republic of ireland),,Ireland,disk,60.0,1 minute,1/11/2002,53.29279,-6.141937,11/11/1989,20:00
york (uk/england),,United Kingdom,light,300.0,5 minutes,9/2/2005,53.954115,-1.064262,11/11/1996,23:00
derby&#44 derbyshire (uk/england)(uk),,United Kingdom,egg,1.0,1 sec,11/19/1998,41.318765,-73.056398,11/11/1998,00:45
grimsby (uk/england),,United Kingdom,light,1800.0,30min,3/19/2002,53.533333,-0.05,11/11/2001,23:30
paris airport (near open field) (france),,France,disk,72.0,1:12,11/16/2002,35.296832,-93.685778,11/11/2002,03:24
wolverhampton (uk/england),,United Kingdom,formation,300.0,5mins,11/16/2002,52.583333,-2.133333,11/11/2002,18:40
chesterfield (uk/england),,United Kingdom,fireball,20.0,20 seconds,11/26/2003,53.25,-1.416667,11/11/2003,21:00
labarthe sur l&egrave;ze (france),,France,cigar,2.0,2 seconds,12/16/2005,43.458858,1.399356,11/11/2005,04:15
mires (greece),,Greece,other,300.0,5 minutes,12/7/2006,35.051532,24.873037,11/11/2006,23:00
southport (uk/england),,United Kingdom,formation,300.0,5 min,11/28/2007,53.666667,-3.0,11/11/2007,18:40
macclesfield (uk/england),,United Kingdom,circle,60.0,60 seconds,11/19/2012,53.25,-2.116667,11/11/2012,19:30
vaucouleurs (lorfrance,,France,light,120.0,2 min.,12/19/2003,48.601914,5.66551,11/1/1967,21:00
cambridge (uk/england),,United Kingdom,sphere,900.0,15 minutes,2/18/2001,51.733333,-2.366667,1/11/1974,03:00
stoke-on-trent (uk/england),,United Kingdom,light,900.0,15 min,10/30/2006,53.0,-2.183333,11/1/1986,03:00
shotts (uk/scotland),,United Kingdom,rectangle,60.0,1 minute,10/8/2007,55.833333,-3.85,1/11/1989,20:30
newtown (uk/wales),,United Kingdom,other,600.0,10 minutes,1/17/2004,52.516667,-3.3,1/11/1992,24:00
sandy (uk/england),,United Kingdom,cigar,600.0,10 mins,2/18/2001,52.116667,-0.283333,11/1/1993,20:00
oirsbeek (netherlands),,Netherlands,light,23.0,2 maybe 3 seconds,3/4/2003,50.950111,5.907947,11/1/1996,22:00
kilkenny (republic of ireland),,Ireland,sphere,300.0,5 mins,2/18/2001,52.654145,-7.244788,1/11/2001,09:06
london (uk/england),,United Kingdom,oval,600.0,10 minutes,11/20/2001,51.514125,-0.093689,11/1/2001,13:00
norwich (uk/england),,United Kingdom,changing,360.0,6 minutes,1/29/2002,52.633333,1.3,1/11/2001,18:00
nottingham (uk/england),,United Kingdom,light,120.0,2 minutes,2/18/2001,52.966667,-1.166667,1/11/2001,20:45
lousa (portugal),,Portugal,circle,7.0,7seconds,11/16/2002,40.114719,-8.244004,1/11/2002,24:00
leicester (uk/england),,United Kingdom,circle,10.0,10 seconds,11/3/2005,52.664913,-1.034894,11/1/2005,22:20
hyvink&auml;&auml; (finland),,Finland,light,120.0,2 minutes,1/10/2009,60.631811,24.857883,11/1/2008,20:00
glenrothes (uk/scotland),,United Kingdom,circle,240.0,4 minutes,1/10/2009,56.2,-3.183333,11/1/2008,21:20
london (southwest) (uk/england),,United Kingdom,light,120.0,2 minutes,1/10/2009,51.514125,-0.093689,1/11/2008,23:25
leighton buzzard (uk/england),,United Kingdom,sphere,300.0,5 minutes,11/19/2012,51.916667,-0.65,11/1/2012,22:10
ihtiman (bulgaria),,Bulgaria,fireball,120.0,2 minutes,1/16/2014,42.438242,23.816172,1/11/2014,19:11
middlesbrough (uk/england) ??,,United Kingdom,disk,300.0,5 min,2/24/2001,54.574227,-1.234956,11/12/2000,07:00
kent (uk/england),,United Kingdom,triangle,600.0,10min,12/2/2000,51.25,0.75,11/12/2000,17:00
london (uk/england),,United Kingdom,unknown,2.0,few seconds,11/20/2001,51.514125,-0.093689,11/12/2001,24:00
lincolnshire (uk/england),,United Kingdom,circle,900.0,15 minutes,12/23/2002,53.166667,-0.25,11/12/2002,23:00
glasgow (uk/scotland),,United Kingdom,light,300.0,5minutes,12/16/2005,55.833333,-4.25,11/12/2005,24:00
riorges (france),,France,fireball,2.0,2 seconds,11/28/2007,46.043248,4.044545,11/12/2007,19:09
solihull (uk/england),,United Kingdom,formation,2.0,00:02,3/4/2008,52.416667,-1.783333,11/12/2007,22:57
st helens&#44 merseyside (uk/england),,United Kingdom,triangle,180.0,3 minutes,1/10/2009,53.456307,-2.737095,11/12/2008,20:20
tamworth (uk/england),,United Kingdom,unknown,300.0,5 mins,11/21/2010,52.616667,-1.683333,11/12/2010,19:05
limassol (cyprus),,Cyprus,cone,3600.0,1h +,12/12/2011,34.70713,33.022617,11/12/2011,11:00
alton (hampshire) (uk/england),,United Kingdom,light,20.0,15-20 seconds,12/12/2011,52.966667,-1.883333,11/12/2011,22:45
vila nova de gaia (portugal),,Portugal,oval,30.0,30 seconds,12/3/2004,41.123876,-8.611785,11/13/2004,21:10
thorne&#44 doncaster (uk/england),,United Kingdom,chevron,1800.0,30 minutes,12/16/2005,53.610421,-0.96144,11/13/2005,06:20
dover&#44 kent (uk/england),,United Kingdom,circle,90.0,1.5 minutes,1/10/2009,51.127876,1.313403,11/13/2008,19:20
birmingham (uk/england),,United Kingdom,light,60.0,1 min,11/21/2010,52.466667,-1.916667,11/13/2010,19:50
birmingham (uk/england),,United Kingdom,sphere,159.0,2:39,12/12/2011,52.466667,-1.916667,11/13/2011,19:39
sofia (bulgaria),,Bulgaria,oval,1.0,<1 second,11/20/2013,42.697708,23.321868,11/13/2013,01:30
ilford/harwich (uk/england),,United Kingdom,triangle,60.0,1 minute,12/9/2000,51.934731,1.260297,11/14/2000,15:45
burnley (uk/england),,United Kingdom,triangle,8.0,6-8 secs,11/20/2001,53.8,-2.233333,11/14/2001,19:20
haslingden (uk/england),,United Kingdom,rectangle,20.0,20 seconds,11/26/2003,53.7,-2.333333,11/14/2003,18:00
boston&#44 lincolnshire (uk/england),,United Kingdom,other,60.0,1 minute,1/10/2009,52.97894,-0.026577,11/14/2008,17:00
warwickshire (uk/england),,United Kingdom,fireball,30.0,20-30 secs,1/10/2009,52.333333,-1.583333,11/14/2008,18:23
aland islands (forty miles south of) (finland),,Finland,fireball,10.0,ten seconds,3/19/2009,60.178525,19.91561,11/14/2008,19:30
lincoln (uk/england),,United Kingdom,sphere,2.0,<2 seconds,1/10/2009,53.233333,-0.533333,11/14/2008,20:00
manchester (glossup) uk/england,,United Kingdom,circle,7200.0,2 hours,1/10/2009,53.479324,-2.248485,11/14/2008,21:00
birmingham (uk/england),,United Kingdom,circle,180.0,3 minutes,8/5/2009,52.466667,-1.916667,11/14/2008,22:00
leicester (uk/england),,United Kingdom,fireball,60.0,1 minute,12/12/2009,52.664913,-1.034894,11/14/2009,23:00
cardiff (uk/wales),,United Kingdom,disk,300.0,5 mins,6/12/2008,51.5,-3.2,11/15/1962,23:00
iver heath (xbridge.nwl ondon (thames) (uk/england),,United Kingdom,other,3600.0,1hr1/2,7/5/2008,51.550908,-0.521463,11/15/1989,10:00
wednesbury&#44 west midlands (uk/england),,United Kingdom,triangle,1200.0,20mins,11/20/2001,52.552888,-2.02208,11/15/1995,17:30
thornton cleveleys&#44 lancashire (uk/england),,United Kingdom,triangle,2.0,seconds,3/7/1998,53.873712,-3.021371,11/15/1996,22:30
northampton (uk/england),,United Kingdom,unknown,5.0,5 seconds,9/2/2005,52.25,-0.883333,11/15/1997,19:00
london (eastham) (uk/england),,United Kingdom,rectangle,240.0,4 minutes,1/11/2002,51.514125,-0.093689,11/15/1998,13:00
elgin (uk/scotland),,United Kingdom,light,30.0,20-30 seconds,2/18/2001,57.65,-3.333333,11/15/1999,02:00
lincoln&#44 lincolnshire (uk/england),,United Kingdom,other,7200.0,2 hours,8/7/2007,53.230688,-0.540579,11/15/1999,11:45
newmarket (uk/england),,United Kingdom,diamond,1200.0,20 mins,8/20/2001,53.3,-3.383333,11/15/2000,23:48
london (uk/england),,United Kingdom,triangle,480.0,5-8 minutes,12/5/2001,51.514125,-0.093689,11/15/2001,01:15
bristol (uk/england),,United Kingdom,rectangle,180.0,3 minutes,11/20/2001,51.45,-2.583333,11/15/2001,22:00
darlington (uk/england),,United Kingdom,light,10.0,10 seconds,10/7/2003,50.45,-3.716667,11/15/2001,22:00
walsall (uk/england),,United Kingdom,light,2.0,1-2s,11/16/2002,52.6,-2.0,11/15/2002,00:02
swadlincote derby&#44 uk (near),,United Kingdom,flash,180.0,3 mins,11/20/2002,52.771318,-1.554997,11/15/2002,00:45
coventry (uk/england),,United Kingdom,light,1.0,00.01,11/16/2002,52.416667,-1.55,11/15/2002,01:03
bournemouth (uk/england),,United Kingdom,egg,90.0,30 seconds-1 min,7/5/2005,50.716667,-1.883333,11/15/2003,21:00
nybro (sweden),,Sweden,diamond,600.0,10min,12/3/2004,56.7438,15.908681,11/15/2004,00:02
london (uk/england),,United Kingdom,circle,180.0,3 mins,9/2/2005,51.514125,-0.093689,11/15/2004,22:00
swansea (uk/wales),,United Kingdom,sphere,600.0,10 minutes,12/16/2005,51.633333,-3.966667,11/15/2005,17:30
cork (republic of ireland),,Ireland,circle,240.0,3 -4 mins,11/28/2007,51.896892,-8.486316,11/15/2007,21:00
meppel (netherlands),,Netherlands,chevron,5.0,4-5 sec,11/21/2010,52.692123,6.193719,11/15/2010,22:19
sheffield city (just outside)(south yorkshire) (uk/england),,United Kingdom,egg,600.0,10 mins est.,4/28/2001,53.381129,-1.470085,11/16/1998,22:30
wakefield (uk/england),,United Kingdom,light,600.0,10 mins,12/9/2003,53.7,-1.483333,11/16/2003,18:00
balerma (spain),,Spain,disk,1800.0,30 minutes,12/16/2005,36.732719,-2.886194,11/16/2005,24:00
skelmersdale (uk/england),,United Kingdom,light,180.0,3 minutes,11/28/2007,53.533333,-2.8,11/16/2007,19:35
