city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
london (uk/england),,United Kingdom,unknown,1800.0,30 minutes,8/24/2010,51.514125,-0.093689,10/15/1970,19:00
london (uk/england),,United Kingdom,circle,240.0,4 minutes,8/5/2001,51.514125,-0.093689,10/15/1988,19:30
bry sur marne  (near paris) (france),,France,,120.0,some minuts,10/28/2002,48.834913,2.523649,10/15/1994,22:00
fort william (uk/scotland),,United Kingdom,unknown,30.0,-30sec,2/18/2001,56.819817,-5.105218,10/15/1997,23:30
inverness (uk/scotland),,United Kingdom,formation,180.0,3 minutes,12/12/2009,57.466667,-4.233333,10/15/1999,02:00
sheffield (uk/england),,United Kingdom,triangle,120.0,only a few minutes,4/1/2001,53.366667,-1.5,10/15/1999,24:00
london (uk/england),,United Kingdom,light,60.0,1 minute,12/2/2000,51.514125,-0.093689,10/15/2000,18:30
swadlincote&#44 derbyshire (uk/england),,United Kingdom,circle,20.0,10-20 seconds,3/19/2002,52.771318,-1.554997,10/15/2001,16:30
hull (uk/england),,United Kingdom,disk,420.0,7 mins,3/19/2009,53.716667,-0.333333,10/15/2008,24:00
glasgow (uk/scotland),,United Kingdom,other,300.0,5 minutes,10/28/2002,55.833333,-4.25,10/16/2002,15:00
northampton (uk/england),,United Kingdom,light,1800.0,30 mins(approx),4/27/2007,52.25,-0.883333,10/16/2004,00:10
leeds (uk/england),,United Kingdom,fireball,300.0,5 minutes,11/28/2007,53.8,-1.583333,10/16/2007,19:55
selby (uk/england),,United Kingdom,changing,240.0,4 minutes,12/12/2009,53.783333,-1.066667,10/16/2009,19:30
melksham&#44 wiltshire (uk/england),,United Kingdom,circle,120.0,2 mins,12/12/2009,51.370447,-2.137629,10/16/2009,21:30
oakham&#44 rutland (uk/england),,United Kingdom,light,40.0,40 seconds,12/12/2009,52.669563,-0.726625,10/16/2009,22:35
ditcot&#44 oxordshire (uk/england),,United Kingdom,circle,2700.0,45 minutes,10/28/2002,51.608044,-1.24484,10/17/2002,01:45
south stoke&#44 goring (uk/england),,United Kingdom,circle,7200.0,2 hrs,10/28/2002,51.543102,-1.097742,10/17/2002,01:45
kracow (poland),,Poland,egg,180.0,3 mins,10/28/2002,50.06465,19.94498,10/17/2002,19:42
leeds (west yorkshire) (uk/england),,United Kingdom,triangle,15.0,about 15 seconds,3/4/2008,53.8,-1.583333,10/17/2007,20:15
dundalk (ireland),,Ireland,other,25.0,20 - 25 seconds,10/31/2008,53.997945,-6.405957,10/17/2008,21:30
bracknell (uk/england),,United Kingdom,circle,5.0,5 seconds,1/10/2009,51.416667,-0.75,10/17/2008,22:00
plymouth (uk/england),,United Kingdom,light,6.0,00:06,12/12/2009,50.396389,-4.138611,10/17/2009,00:00
toton&#44 nottingham (uk/england),,United Kingdom,sphere,480.0,8 minutes,10/30/2012,52.906367,-1.257422,10/17/2012,21:30
wymondham (norfolk)(uk/england),,United Kingdom,other,60.0,1 minute,10/23/2013,52.566667,1.116667,10/17/2013,18:50
manchester (uk/england),,United Kingdom,triangle,5.0,5 seconds,10/28/2002,53.5,-2.216667,10/18/2002,20:35
tattonhall (uk/england),,United Kingdom,teardrop,900.0,10-15 minutes,1/19/2005,53.120933,-2.771825,10/18/2004,01:00
gillingham (uk/england),,United Kingdom,light,180.0,3 mins,11/28/2007,51.4,0.566667,10/18/2007,21:10
manchester (uk/england),,United Kingdom,sphere,60.0,1min,11/28/2007,53.5,-2.216667,10/18/2007,23:45
leuven (belgium),,Belgium,circle,4.0,about 4 seconds,10/31/2008,50.866667,4.7,10/18/2008,23:45
ackworth (uk/england),,United Kingdom,rectangle,120.0,2 minutes,10/10/2011,53.65,-1.333333,10/18/2010,15:00
cardiff (south wales) (uk/wales),,United Kingdom,light,3600.0,1.00 hour,10/30/2012,51.5,-3.2,10/18/2012,05:50
heer (belgium),,Belgium,unknown,30.0,30 seconds,10/23/2013,50.75368,5.30209,10/18/2013,19:19
wicklow (republic of ireland),,Ireland,egg,180.0,3 minutes,11/20/2001,52.980821,-6.044589,10/19/2001,00:30
fareham (uk/england),,United Kingdom,other,1.0,second,10/31/2003,50.85,-1.183333,10/19/2003,19:00
colwyn bay (uk/wales&#44 north country),,United Kingdom,other,18000.0,5 hrs,11/3/2005,53.3,-3.75,10/19/2005,01:30
london (uk/england),,United Kingdom,light,180.0,3 minutes,10/30/2006,51.514125,-0.093689,10/19/2006,11:50
leamington spa (uk/england),,United Kingdom,diamond,1200.0,20 minutes,11/28/2007,52.3,-1.533333,10/19/2007,17:30
blandford forum (uk/england),,United Kingdom,unknown,300.0,5 minutes,10/30/2012,50.866667,-2.166667,10/19/2012,06:20
fleetwood (uk/england),,United Kingdom,formation,1200.0,20 minutes,2/8/2005,53.916667,-3.0,10/20/1968,19:30
kaunas (lithuania),,Lithuania,unknown,3600.0,1 hour,3/17/2004,54.898521,23.903597,10/20/1992,02:00
grimsby (uk/england),,United Kingdom,egg,120.0,2 minutes,8/16/2002,53.533333,-0.05,10/20/1997,22:00
scunthorpe (uk/england),,United Kingdom,triangle,10.0,10 seconds,12/2/2000,53.583333,-0.65,10/20/2000,20:20
newport (uk/england),,United Kingdom,diamond,3.0,3 seconds,12/9/2000,52.016667,-4.833333,10/20/2000,23:00
swanley (uk/england),,United Kingdom,light,60.0,approx one minute,11/11/2003,51.396531,0.177326,10/20/2003,22:30
castleford (uk/england),,United Kingdom,light,15.0,15 seconds,10/27/2004,53.716667,-1.35,10/20/2004,06:30
essex (uk/england),,United Kingdom,other,120.0,few mins,11/3/2005,51.833333,0.583333,10/20/2005,20:51
varberg (sweden),,Sweden,other,35.0,25-35 seconds,11/21/2010,57.107118,12.252091,10/20/2010,18:05
szczecinek (poland),,Poland,other,3600.0,1 hour,1/16/2014,53.710071,16.69936,10/20/2013,21:30
swansea (uk/england),,United Kingdom,triangle,1800.0,30 minutes,5/15/2006,51.633333,-3.966667,10/21/1987,21:30
swansea (uk/england),,United Kingdom,triangle,600.0,10 minutes,12/16/2005,51.633333,-3.966667,10/21/1987,21:30
cesena (italy),,Italy,disk,1800.0,30 min,10/28/2002,44.139644,12.246429,10/21/2002,19:40
canvey island&#44 essex (uk/england),,United Kingdom,chevron,10.0,10 seconds,10/27/2004,51.517083,0.578411,10/21/2004,21:00
weert (netherlands),,Netherlands,cigar,60.0,1 minute,11/2/2004,51.243942,5.714222,10/21/2004,21:10
bristol (uk/england),,United Kingdom,light,900.0,15 min,11/3/2005,51.45,-2.583333,10/21/2005,13:00
hereford (uk/england),,United Kingdom,disk,900.0,15 minutes,11/28/2007,52.05,-2.716667,10/21/2007,03:20
durham county (uk/england),,United Kingdom,light,600.0,10 minutes,10/30/2012,54.766667,-1.566667,10/21/2012,03:20
mitchelstown (republic of ireland),,Ireland,unknown,300.0,5 minutes,12/2/2000,52.266213,-8.269886,10/2/2000,20:30
bridlington (uk/england),,United Kingdom,oval,900.0,15mins,10/27/2004,54.095,-0.208056,10/2/2004,21:20
cheshire&#44 lymm (uk/england),,United Kingdom,light,300.0,around 5 minutes,2/14/2010,53.381724,-2.480044,10/2/2009,02:00
bridlington (uk/england),,United Kingdom,triangle,30.0,30seconds,12/2/2000,54.095,-0.208056,10/22/2000,20:50
cheltenham (uk/england),,United Kingdom,fireball,1800.0,30mins,10/31/2003,51.9,-2.083333,10/22/2003,21:00
bassevelde (belgium),,Belgium,circle,3600.0,1 hour,3/19/2009,51.230556,3.6775,10/22/2005,22:20
